participant_id,interactive_feature,phrase_pair,rating
1,IT,Difficult to use - Easy to use,5
1,IT,Does not form immediate impression - Forms immediate impression,4
1,IT,Conventional - Innovative,3
1,IT,Redundant - Informative,5
1,IT,Hindering - Helpful,5
1,IT,Boring - Entertaining,4
1,IT,Ugly - Elegant,4
1,LB,Difficult to use - Easy to use,5
1,LB,Does not form immediate impression - Forms immediate impression,5
1,LB,Conventional - Innovative,4
1,LB,Redundant - Informative,5
1,LB,Hindering - Helpful,5
1,LB,Boring - Entertaining,5
1,LB,Ugly - Elegant,5
1,CSA,Difficult to use - Easy to use,5
1,CSA,Does not form immediate impression - Forms immediate impression,5
1,CSA,Conventional - Innovative,4
1,CSA,Redundant - Informative,5
1,CSA,Hindering - Helpful,5
1,CSA,Boring - Entertaining,5
1,CSA,Ugly - Elegant,5
2,IT,Difficult to use - Easy to use,4
2,IT,Does not form immediate impression - Forms immediate impression,5
2,IT,Conventional - Innovative,5
2,IT,Redundant - Informative,4
2,IT,Hindering - Helpful,4
2,IT,Boring - Entertaining,5
2,IT,Ugly - Elegant,4
2,LB,Difficult to use - Easy to use,4
2,LB,Does not form immediate impression - Forms immediate impression,5
2,LB,Conventional - Innovative,5
2,LB,Redundant - Informative,5
2,LB,Hindering - Helpful,5
2,LB,Boring - Entertaining,5
2,LB,Ugly - Elegant,4
2,CSA,Difficult to use - Easy to use,4
2,CSA,Does not form immediate impression - Forms immediate impression,4
2,CSA,Conventional - Innovative,2
2,CSA,Redundant - Informative,3
2,CSA,Hindering - Helpful,4
2,CSA,Boring - Entertaining,3
2,CSA,Ugly - Elegant,3
3,IT,Difficult to use - Easy to use,4
3,IT,Does not form immediate impression - Forms immediate impression,5
3,IT,Conventional - Innovative,5
3,IT,Redundant - Informative,4
3,IT,Hindering - Helpful,4
3,IT,Boring - Entertaining,4
3,IT,Ugly - Elegant,4
3,LB,Difficult to use - Easy to use,4
3,LB,Does not form immediate impression - Forms immediate impression,4
3,LB,Conventional - Innovative,2
3,LB,Redundant - Informative,3
3,LB,Hindering - Helpful,3
3,LB,Boring - Entertaining,3
3,LB,Ugly - Elegant,4
3,CSA,Difficult to use - Easy to use,5
3,CSA,Does not form immediate impression - Forms immediate impression,4
3,CSA,Conventional - Innovative,4
3,CSA,Redundant - Informative,4
3,CSA,Hindering - Helpful,4
3,CSA,Boring - Entertaining,5
3,CSA,Ugly - Elegant,4
4,IT,Difficult to use - Easy to use,5
4,IT,Does not form immediate impression - Forms immediate impression,5
4,IT,Conventional - Innovative,1
4,IT,Redundant - Informative,5
4,IT,Hindering - Helpful,5
4,IT,Boring - Entertaining,4
4,IT,Ugly - Elegant,3
4,LB,Difficult to use - Easy to use,4
4,LB,Does not form immediate impression - Forms immediate impression,5
4,LB,Conventional - Innovative,4
4,LB,Redundant - Informative,2
4,LB,Hindering - Helpful,4
4,LB,Boring - Entertaining,1
4,LB,Ugly - Elegant,4
4,CSA,Difficult to use - Easy to use,5
4,CSA,Does not form immediate impression - Forms immediate impression,5
4,CSA,Conventional - Innovative,4
4,CSA,Redundant - Informative,1
4,CSA,Hindering - Helpful,4
4,CSA,Boring - Entertaining,4
4,CSA,Ugly - Elegant,3
5,IT,Difficult to use - Easy to use,4
5,IT,Does not form immediate impression - Forms immediate impression,1
5,IT,Conventional - Innovative,4
5,IT,Redundant - Informative,4
5,IT,Hindering - Helpful,5
5,IT,Boring - Entertaining,4
5,IT,Ugly - Elegant,5
5,LB,Difficult to use - Easy to use,4
5,LB,Does not form immediate impression - Forms immediate impression,5
5,LB,Conventional - Innovative,4
5,LB,Redundant - Informative,4
5,LB,Hindering - Helpful,4
5,LB,Boring - Entertaining,4
5,LB,Ugly - Elegant,5
5,CSA,Difficult to use - Easy to use,5
5,CSA,Does not form immediate impression - Forms immediate impression,5
5,CSA,Conventional - Innovative,5
5,CSA,Redundant - Informative,5
5,CSA,Hindering - Helpful,5
5,CSA,Boring - Entertaining,5
5,CSA,Ugly - Elegant,5
6,IT,Difficult to use - Easy to use,5
6,IT,Does not form immediate impression - Forms immediate impression,4
6,IT,Conventional - Innovative,4
6,IT,Redundant - Informative,5
6,IT,Hindering - Helpful,5
6,IT,Boring - Entertaining,5
6,IT,Ugly - Elegant,5
6,LB,Difficult to use - Easy to use,5
6,LB,Does not form immediate impression - Forms immediate impression,5
6,LB,Conventional - Innovative,5
6,LB,Redundant - Informative,5
6,LB,Hindering - Helpful,5
6,LB,Boring - Entertaining,5
6,LB,Ugly - Elegant,5
6,CSA,Difficult to use - Easy to use,4
6,CSA,Does not form immediate impression - Forms immediate impression,3
6,CSA,Conventional - Innovative,3
6,CSA,Redundant - Informative,4
6,CSA,Hindering - Helpful,5
6,CSA,Boring - Entertaining,5
6,CSA,Ugly - Elegant,4
7,IT,Difficult to use - Easy to use,5
7,IT,Does not form immediate impression - Forms immediate impression,3
7,IT,Conventional - Innovative,1
7,IT,Redundant - Informative,5
7,IT,Hindering - Helpful,5
7,IT,Boring - Entertaining,2
7,IT,Ugly - Elegant,3
7,LB,Difficult to use - Easy to use,5
7,LB,Does not form immediate impression - Forms immediate impression,5
7,LB,Conventional - Innovative,4
7,LB,Redundant - Informative,5
7,LB,Hindering - Helpful,5
7,LB,Boring - Entertaining,3
7,LB,Ugly - Elegant,5
7,CSA,Difficult to use - Easy to use,5
7,CSA,Does not form immediate impression - Forms immediate impression,4
7,CSA,Conventional - Innovative,4
7,CSA,Redundant - Informative,5
7,CSA,Hindering - Helpful,5
7,CSA,Boring - Entertaining,4
7,CSA,Ugly - Elegant,5
8,IT,Difficult to use - Easy to use,4
8,IT,Does not form immediate impression - Forms immediate impression,4
8,IT,Conventional - Innovative,5
8,IT,Redundant - Informative,5
8,IT,Hindering - Helpful,5
8,IT,Boring - Entertaining,3
8,IT,Ugly - Elegant,3
8,LB,Difficult to use - Easy to use,4
8,LB,Does not form immediate impression - Forms immediate impression,4
8,LB,Conventional - Innovative,4
8,LB,Redundant - Informative,4
8,LB,Hindering - Helpful,4
8,LB,Boring - Entertaining,3
8,LB,Ugly - Elegant,4
8,CSA,Difficult to use - Easy to use,4
8,CSA,Does not form immediate impression - Forms immediate impression,3
8,CSA,Conventional - Innovative,3
8,CSA,Redundant - Informative,4
8,CSA,Hindering - Helpful,4
8,CSA,Boring - Entertaining,4
8,CSA,Ugly - Elegant,3
9,IT,Difficult to use - Easy to use,4
9,IT,Does not form immediate impression - Forms immediate impression,3
9,IT,Conventional - Innovative,1
9,IT,Redundant - Informative,4
9,IT,Hindering - Helpful,4
9,IT,Boring - Entertaining,3
9,IT,Ugly - Elegant,3
9,LB,Difficult to use - Easy to use,4
9,LB,Does not form immediate impression - Forms immediate impression,4
9,LB,Conventional - Innovative,3
9,LB,Redundant - Informative,4
9,LB,Hindering - Helpful,4
9,LB,Boring - Entertaining,4
9,LB,Ugly - Elegant,4
9,CSA,Difficult to use - Easy to use,4
9,CSA,Does not form immediate impression - Forms immediate impression,4
9,CSA,Conventional - Innovative,4
9,CSA,Redundant - Informative,3
9,CSA,Hindering - Helpful,3
9,CSA,Boring - Entertaining,4
9,CSA,Ugly - Elegant,3
10,IT,Difficult to use - Easy to use,4
10,IT,Does not form immediate impression - Forms immediate impression,4
10,IT,Conventional - Innovative,4
10,IT,Redundant - Informative,4
10,IT,Hindering - Helpful,4
10,IT,Boring - Entertaining,4
10,IT,Ugly - Elegant,4
10,LB,Difficult to use - Easy to use,4
10,LB,Does not form immediate impression - Forms immediate impression,4
10,LB,Conventional - Innovative,4
10,LB,Redundant - Informative,4
10,LB,Hindering - Helpful,4
10,LB,Boring - Entertaining,4
10,LB,Ugly - Elegant,4
10,CSA,Difficult to use - Easy to use,5
10,CSA,Does not form immediate impression - Forms immediate impression,5
10,CSA,Conventional - Innovative,1
10,CSA,Redundant - Informative,5
10,CSA,Hindering - Helpful,3
10,CSA,Boring - Entertaining,3
10,CSA,Ugly - Elegant,3
11,IT,Difficult to use - Easy to use,5
11,IT,Does not form immediate impression - Forms immediate impression,5
11,IT,Conventional - Innovative,2
11,IT,Redundant - Informative,5
11,IT,Hindering - Helpful,5
11,IT,Boring - Entertaining,3
11,IT,Ugly - Elegant,4
11,LB,Difficult to use - Easy to use,5
11,LB,Does not form immediate impression - Forms immediate impression,5
11,LB,Conventional - Innovative,3
11,LB,Redundant - Informative,5
11,LB,Hindering - Helpful,5
11,LB,Boring - Entertaining,4
11,LB,Ugly - Elegant,4
11,CSA,Difficult to use - Easy to use,5
11,CSA,Does not form immediate impression - Forms immediate impression,5
11,CSA,Conventional - Innovative,4
11,CSA,Redundant - Informative,5
11,CSA,Hindering - Helpful,5
11,CSA,Boring - Entertaining,4
11,CSA,Ugly - Elegant,4
12,IT,Difficult to use - Easy to use,5
12,IT,Does not form immediate impression - Forms immediate impression,5
12,IT,Conventional - Innovative,1
12,IT,Redundant - Informative,5
12,IT,Hindering - Helpful,5
12,IT,Boring - Entertaining,2
12,IT,Ugly - Elegant,3
12,LB,Difficult to use - Easy to use,5
12,LB,Does not form immediate impression - Forms immediate impression,4
12,LB,Conventional - Innovative,5
12,LB,Redundant - Informative,5
12,LB,Hindering - Helpful,5
12,LB,Boring - Entertaining,5
12,LB,Ugly - Elegant,5
12,CSA,Difficult to use - Easy to use,5
12,CSA,Does not form immediate impression - Forms immediate impression,4
12,CSA,Conventional - Innovative,4
12,CSA,Redundant - Informative,4
12,CSA,Hindering - Helpful,4
12,CSA,Boring - Entertaining,5
12,CSA,Ugly - Elegant,4
13,IT,Difficult to use - Easy to use,5
13,IT,Does not form immediate impression - Forms immediate impression,5
13,IT,Conventional - Innovative,5
13,IT,Redundant - Informative,5
13,IT,Hindering - Helpful,5
13,IT,Boring - Entertaining,4
13,IT,Ugly - Elegant,5
13,LB,Difficult to use - Easy to use,5
13,LB,Does not form immediate impression - Forms immediate impression,2
13,LB,Conventional - Innovative,2
13,LB,Redundant - Informative,1
13,LB,Hindering - Helpful,3
13,LB,Boring - Entertaining,3
13,LB,Ugly - Elegant,3
13,CSA,Difficult to use - Easy to use,5
13,CSA,Does not form immediate impression - Forms immediate impression,3
13,CSA,Conventional - Innovative,4
13,CSA,Redundant - Informative,4
13,CSA,Hindering - Helpful,3
13,CSA,Boring - Entertaining,3
13,CSA,Ugly - Elegant,3
14,IT,Difficult to use - Easy to use,5
14,IT,Does not form immediate impression - Forms immediate impression,3
14,IT,Conventional - Innovative,3
14,IT,Redundant - Informative,4
14,IT,Hindering - Helpful,2
14,IT,Boring - Entertaining,2
14,IT,Ugly - Elegant,3
14,LB,Difficult to use - Easy to use,2
14,LB,Does not form immediate impression - Forms immediate impression,2
14,LB,Conventional - Innovative,2
14,LB,Redundant - Informative,2
14,LB,Hindering - Helpful,3
14,LB,Boring - Entertaining,3
14,LB,Ugly - Elegant,3
14,CSA,Difficult to use - Easy to use,4
14,CSA,Does not form immediate impression - Forms immediate impression,4
14,CSA,Conventional - Innovative,3
14,CSA,Redundant - Informative,4
14,CSA,Hindering - Helpful,3
14,CSA,Boring - Entertaining,3
14,CSA,Ugly - Elegant,4
15,IT,Difficult to use - Easy to use,5
15,IT,Does not form immediate impression - Forms immediate impression,3
15,IT,Conventional - Innovative,3
15,IT,Redundant - Informative,5
15,IT,Hindering - Helpful,3
15,IT,Boring - Entertaining,3
15,IT,Ugly - Elegant,3
15,LB,Difficult to use - Easy to use,5
15,LB,Does not form immediate impression - Forms immediate impression,4
15,LB,Conventional - Innovative,4
15,LB,Redundant - Informative,5
15,LB,Hindering - Helpful,5
15,LB,Boring - Entertaining,5
15,LB,Ugly - Elegant,5
15,CSA,Difficult to use - Easy to use,5
15,CSA,Does not form immediate impression - Forms immediate impression,5
15,CSA,Conventional - Innovative,4
15,CSA,Redundant - Informative,5
15,CSA,Hindering - Helpful,5
15,CSA,Boring - Entertaining,5
15,CSA,Ugly - Elegant,5
16,IT,Difficult to use - Easy to use,4
16,IT,Does not form immediate impression - Forms immediate impression,5
16,IT,Conventional - Innovative,2
16,IT,Redundant - Informative,5
16,IT,Hindering - Helpful,5
16,IT,Boring - Entertaining,3
16,IT,Ugly - Elegant,3
16,LB,Difficult to use - Easy to use,4
16,LB,Does not form immediate impression - Forms immediate impression,4
16,LB,Conventional - Innovative,5
16,LB,Redundant - Informative,3
16,LB,Hindering - Helpful,4
16,LB,Boring - Entertaining,4
16,LB,Ugly - Elegant,3
16,CSA,Difficult to use - Easy to use,4
16,CSA,Does not form immediate impression - Forms immediate impression,2
16,CSA,Conventional - Innovative,4
16,CSA,Redundant - Informative,2
16,CSA,Hindering - Helpful,3
16,CSA,Boring - Entertaining,4
16,CSA,Ugly - Elegant,3
17,IT,Difficult to use - Easy to use,5
17,IT,Does not form immediate impression - Forms immediate impression,4
17,IT,Conventional - Innovative,2
17,IT,Redundant - Informative,5
17,IT,Hindering - Helpful,4
17,IT,Boring - Entertaining,3
17,IT,Ugly - Elegant,3
17,LB,Difficult to use - Easy to use,5
17,LB,Does not form immediate impression - Forms immediate impression,4
17,LB,Conventional - Innovative,3
17,LB,Redundant - Informative,4
17,LB,Hindering - Helpful,4
17,LB,Boring - Entertaining,3
17,LB,Ugly - Elegant,4
17,CSA,Difficult to use - Easy to use,5
17,CSA,Does not form immediate impression - Forms immediate impression,4
17,CSA,Conventional - Innovative,4
17,CSA,Redundant - Informative,4
17,CSA,Hindering - Helpful,4
17,CSA,Boring - Entertaining,3
17,CSA,Ugly - Elegant,3
18,IT,Difficult to use - Easy to use,5
18,IT,Does not form immediate impression - Forms immediate impression,5
18,IT,Conventional - Innovative,3
18,IT,Redundant - Informative,5
18,IT,Hindering - Helpful,5
18,IT,Boring - Entertaining,4
18,IT,Ugly - Elegant,5
18,LB,Difficult to use - Easy to use,5
18,LB,Does not form immediate impression - Forms immediate impression,5
18,LB,Conventional - Innovative,4
18,LB,Redundant - Informative,5
18,LB,Hindering - Helpful,5
18,LB,Boring - Entertaining,4
18,LB,Ugly - Elegant,5
18,CSA,Difficult to use - Easy to use,5
18,CSA,Does not form immediate impression - Forms immediate impression,5
18,CSA,Conventional - Innovative,5
18,CSA,Redundant - Informative,5
18,CSA,Hindering - Helpful,5
18,CSA,Boring - Entertaining,5
18,CSA,Ugly - Elegant,5
19,IT,Difficult to use - Easy to use,5
19,IT,Does not form immediate impression - Forms immediate impression,4
19,IT,Conventional - Innovative,5
19,IT,Redundant - Informative,4
19,IT,Hindering - Helpful,5
19,IT,Boring - Entertaining,4
19,IT,Ugly - Elegant,4
19,LB,Difficult to use - Easy to use,5
19,LB,Does not form immediate impression - Forms immediate impression,4
19,LB,Conventional - Innovative,2
19,LB,Redundant - Informative,5
19,LB,Hindering - Helpful,5
19,LB,Boring - Entertaining,4
19,LB,Ugly - Elegant,3
19,CSA,Difficult to use - Easy to use,5
19,CSA,Does not form immediate impression - Forms immediate impression,3
19,CSA,Conventional - Innovative,4
19,CSA,Redundant - Informative,5
19,CSA,Hindering - Helpful,5
19,CSA,Boring - Entertaining,5
19,CSA,Ugly - Elegant,4
20,IT,Difficult to use - Easy to use,4
20,IT,Does not form immediate impression - Forms immediate impression,3
20,IT,Conventional - Innovative,4
20,IT,Redundant - Informative,5
20,IT,Hindering - Helpful,5
20,IT,Boring - Entertaining,4
20,IT,Ugly - Elegant,3
20,LB,Difficult to use - Easy to use,5
20,LB,Does not form immediate impression - Forms immediate impression,3
20,LB,Conventional - Innovative,4
20,LB,Redundant - Informative,5
20,LB,Hindering - Helpful,5
20,LB,Boring - Entertaining,4
20,LB,Ugly - Elegant,4
20,CSA,Difficult to use - Easy to use,5
20,CSA,Does not form immediate impression - Forms immediate impression,3
20,CSA,Conventional - Innovative,4
20,CSA,Redundant - Informative,5
20,CSA,Hindering - Helpful,5
20,CSA,Boring - Entertaining,5
20,CSA,Ugly - Elegant,4
21,IT,Difficult to use - Easy to use,4
21,IT,Does not form immediate impression - Forms immediate impression,3
21,IT,Conventional - Innovative,3
21,IT,Redundant - Informative,5
21,IT,Hindering - Helpful,5
21,IT,Boring - Entertaining,2
21,IT,Ugly - Elegant,2
21,LB,Difficult to use - Easy to use,5
21,LB,Does not form immediate impression - Forms immediate impression,5
21,LB,Conventional - Innovative,5
21,LB,Redundant - Informative,5
21,LB,Hindering - Helpful,5
21,LB,Boring - Entertaining,4
21,LB,Ugly - Elegant,3
21,CSA,Difficult to use - Easy to use,5
21,CSA,Does not form immediate impression - Forms immediate impression,5
21,CSA,Conventional - Innovative,5
21,CSA,Redundant - Informative,5
21,CSA,Hindering - Helpful,4
21,CSA,Boring - Entertaining,4
21,CSA,Ugly - Elegant,4
22,IT,Difficult to use - Easy to use,4
22,IT,Does not form immediate impression - Forms immediate impression,4
22,IT,Conventional - Innovative,3
22,IT,Redundant - Informative,4
22,IT,Hindering - Helpful,4
22,IT,Boring - Entertaining,3
22,IT,Ugly - Elegant,3
22,LB,Difficult to use - Easy to use,5
22,LB,Does not form immediate impression - Forms immediate impression,5
22,LB,Conventional - Innovative,3
22,LB,Redundant - Informative,3
22,LB,Hindering - Helpful,5
22,LB,Boring - Entertaining,3
22,LB,Ugly - Elegant,3
22,CSA,Difficult to use - Easy to use,3
22,CSA,Does not form immediate impression - Forms immediate impression,5
22,CSA,Conventional - Innovative,3
22,CSA,Redundant - Informative,3
22,CSA,Hindering - Helpful,3
22,CSA,Boring - Entertaining,3
22,CSA,Ugly - Elegant,3
23,IT,Difficult to use - Easy to use,5
23,IT,Does not form immediate impression - Forms immediate impression,5
23,IT,Conventional - Innovative,1
23,IT,Redundant - Informative,5
23,IT,Hindering - Helpful,5
23,IT,Boring - Entertaining,3
23,IT,Ugly - Elegant,4
23,LB,Difficult to use - Easy to use,5
23,LB,Does not form immediate impression - Forms immediate impression,5
23,LB,Conventional - Innovative,3
23,LB,Redundant - Informative,4
23,LB,Hindering - Helpful,5
23,LB,Boring - Entertaining,4
23,LB,Ugly - Elegant,5
23,CSA,Difficult to use - Easy to use,5
23,CSA,Does not form immediate impression - Forms immediate impression,2
23,CSA,Conventional - Innovative,4
23,CSA,Redundant - Informative,4
23,CSA,Hindering - Helpful,5
23,CSA,Boring - Entertaining,3
23,CSA,Ugly - Elegant,4
24,IT,Difficult to use - Easy to use,5
24,IT,Does not form immediate impression - Forms immediate impression,2
24,IT,Conventional - Innovative,1
24,IT,Redundant - Informative,2
24,IT,Hindering - Helpful,2
24,IT,Boring - Entertaining,3
24,IT,Ugly - Elegant,3
24,LB,Difficult to use - Easy to use,5
24,LB,Does not form immediate impression - Forms immediate impression,4
24,LB,Conventional - Innovative,4
24,LB,Redundant - Informative,5
24,LB,Hindering - Helpful,5
24,LB,Boring - Entertaining,3
24,LB,Ugly - Elegant,5
24,CSA,Difficult to use - Easy to use,4
24,CSA,Does not form immediate impression - Forms immediate impression,5
24,CSA,Conventional - Innovative,3
24,CSA,Redundant - Informative,3
24,CSA,Hindering - Helpful,4
24,CSA,Boring - Entertaining,3
24,CSA,Ugly - Elegant,4
25,IT,Difficult to use - Easy to use,5
25,IT,Does not form immediate impression - Forms immediate impression,5
25,IT,Conventional - Innovative,5
25,IT,Redundant - Informative,5
25,IT,Hindering - Helpful,5
25,IT,Boring - Entertaining,5
25,IT,Ugly - Elegant,5
25,LB,Difficult to use - Easy to use,5
25,LB,Does not form immediate impression - Forms immediate impression,5
25,LB,Conventional - Innovative,5
25,LB,Redundant - Informative,5
25,LB,Hindering - Helpful,5
25,LB,Boring - Entertaining,5
25,LB,Ugly - Elegant,5
25,CSA,Difficult to use - Easy to use,5
25,CSA,Does not form immediate impression - Forms immediate impression,5
25,CSA,Conventional - Innovative,5
25,CSA,Redundant - Informative,5
25,CSA,Hindering - Helpful,5
25,CSA,Boring - Entertaining,5
25,CSA,Ugly - Elegant,5
26,IT,Difficult to use - Easy to use,4
26,IT,Does not form immediate impression - Forms immediate impression,3
26,IT,Conventional - Innovative,1
26,IT,Redundant - Informative,4
26,IT,Hindering - Helpful,4
26,IT,Boring - Entertaining,3
26,IT,Ugly - Elegant,3
26,LB,Difficult to use - Easy to use,5
26,LB,Does not form immediate impression - Forms immediate impression,4
26,LB,Conventional - Innovative,4
26,LB,Redundant - Informative,3
26,LB,Hindering - Helpful,4
26,LB,Boring - Entertaining,4
26,LB,Ugly - Elegant,4
26,CSA,Difficult to use - Easy to use,5
26,CSA,Does not form immediate impression - Forms immediate impression,3
26,CSA,Conventional - Innovative,3
26,CSA,Redundant - Informative,3
26,CSA,Hindering - Helpful,4
26,CSA,Boring - Entertaining,3
26,CSA,Ugly - Elegant,3
27,IT,Difficult to use - Easy to use,5
27,IT,Does not form immediate impression - Forms immediate impression,5
27,IT,Conventional - Innovative,4
27,IT,Redundant - Informative,4
27,IT,Hindering - Helpful,5
27,IT,Boring - Entertaining,4
27,IT,Ugly - Elegant,4
27,LB,Difficult to use - Easy to use,5
27,LB,Does not form immediate impression - Forms immediate impression,5
27,LB,Conventional - Innovative,3
27,LB,Redundant - Informative,4
27,LB,Hindering - Helpful,5
27,LB,Boring - Entertaining,4
27,LB,Ugly - Elegant,4
27,CSA,Difficult to use - Easy to use,5
27,CSA,Does not form immediate impression - Forms immediate impression,5
27,CSA,Conventional - Innovative,5
27,CSA,Redundant - Informative,4
27,CSA,Hindering - Helpful,4
27,CSA,Boring - Entertaining,5
27,CSA,Ugly - Elegant,4
28,IT,Difficult to use - Easy to use,5
28,IT,Does not form immediate impression - Forms immediate impression,5
28,IT,Conventional - Innovative,4
28,IT,Redundant - Informative,5
28,IT,Hindering - Helpful,5
28,IT,Boring - Entertaining,3
28,IT,Ugly - Elegant,5
28,LB,Difficult to use - Easy to use,5
28,LB,Does not form immediate impression - Forms immediate impression,5
28,LB,Conventional - Innovative,5
28,LB,Redundant - Informative,5
